jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileRight,mouthSmileLeft,mouthFrownRight,mouthFrownLeft,mouthDimpleRight,mouthDimpleLeft,mouthStretchRight,mouthStretchLeft,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressRight,mouthPressLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthUpperUpRight
0.31243384,0.13155547,0.2600434,0.10905736,0.010259604,0.0066618756,0.1558485,0.12685917,0.005219096,0.003967777,0.03563221,0.03221395,0.31118217,0.3023084,0.04355243,0.13176087,0.039123047,0.23295853,0.019105243,0.015874721,0.40268227,0.41170505,0.05288183
0.33728904,0.14137867,0.26220188,0.10205034,0.011592657,0.0069276644,0.15631428,0.124063134,0.00014637201,0.0017404122,0.032255176,0.03021215,0.31970105,0.3122724,0.04244064,0.13428293,0.035914574,0.24203917,0.017439833,0.014788906,0.42120665,0.42878652,0.050751068
0.33114305,0.14370355,0.26809463,0.09791507,0.010650839,0.008285591,0.16170284,0.1346413,-2.5294255e-05,0.00077094586,0.033336412,0.029928435,0.32508194,0.31742498,0.04590253,0.14164177,0.031516153,0.24222566,0.017208146,0.0143767735,0.4252469,0.43224314,0.04940297
0.33329624,0.14907931,0.27033925,0.1012515,0.015798064,0.007564353,0.15009004,0.11979167,0.0045217588,0.0063264472,0.031154256,0.02785425,0.33575317,0.31956562,0.049757674,0.14227943,0.03417179,0.26009032,0.013971488,0.012333051,0.43336424,0.43936133,0.048245814
0.1396878,0.08020846,0.24260929,0.1626428,0.006217972,0.0049478956,0.111577004,0.08593984,0.0032936116,0.0057358453,0.056038536,0.05350696,0.18742728,0.1962635,0.06532313,0.13019678,0.060642634,0.11275014,0.022753496,0.017551288,0.22250094,0.22343591,0.043344066
0.13876015,0.08128416,0.24490678,0.16179138,0.0053506093,0.0051317047,0.10789769,0.083944984,0.004543445,0.0079375915,0.057248086,0.054671094,0.18556674,0.19539943,0.06785395,0.13335508,0.061012782,0.111438565,0.023223555,0.01765015,0.2196657,0.21940061,0.04262342
0.13731076,0.08241279,0.24878393,0.16795184,0.004170247,0.0052569993,0.10641081,0.08303764,0.0054626814,0.0087218955,0.058169946,0.055564437,0.18100828,0.19195223,0.069646195,0.13614349,0.06149278,0.10625784,0.023637628,0.017763998,0.21591754,0.21533304,0.04220754
0.13399667,0.08141085,0.24833713,0.16931556,0.005080407,0.0052554514,0.10853316,0.084243044,0.004982192,0.007654135,0.058089815,0.055715915,0.18170495,0.19142415,0.06932654,0.13604304,0.061603267,0.10747204,0.023821486,0.018045926,0.21609038,0.21519391,0.042850245
0.13075213,0.08052172,0.2503858,0.17462352,0.0061812336,0.004792955,0.10628295,0.081823386,0.0047368384,0.008065963,0.05835266,0.05564991,0.18085234,0.18979867,0.07006951,0.13556686,0.06317768,0.10836955,0.023963973,0.018196011,0.20973659,0.21177746,0.042691767
0.12786002,0.078883305,0.24640034,0.171832,0.007078832,0.0046047913,0.10338891,0.07835499,0.0053031477,0.009965339,0.058213625,0.055318385,0.18152289,0.18959592,0.07044276,0.13318475,0.06425563,0.108580686,0.024292313,0.018510386,0.20686308,0.20806567,0.04203101
0.12067548,0.07146254,0.23293757,0.16975278,0.0061350283,0.005451341,0.107400544,0.082967326,0.0033356824,0.006575044,0.057178188,0.054355666,0.17411342,0.18408875,0.062461164,0.12279888,0.0630505,0.10597905,0.02436536,0.018589066,0.20125024,0.20163757,0.04271754
0.1291224,0.074780844,0.23717405,0.16600086,0.0063482197,0.0050591114,0.10943787,0.08520501,0.003391738,0.0062833363,0.056601208,0.05373188,0.18114045,0.1900804,0.06407716,0.12755887,0.061586626,0.10995694,0.023228642,0.01783846,0.21064138,0.2131086,0.043306846
